Autoridad Administrativa del Agua ,Administración Local del Agua ,Departamento,Provincia,DISTRITO,Sector,Zona,Latitude,Longitude
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,ACOMAYO,ACOMAYO,Acomayo,19,-13.916307921976369,-71.68468164724254
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,ACOMAYO,ACOMAYO,Barrio Marpa,19,-13.913037431489126,-71.67979817641981
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,CHUMBIVILCAS,LLUSCO,Lloccmarca,18,-14.420273469306938,-72.09584395470108
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,CHUMBIVILCAS,SANTO TOMAS,Llukamarca,18,-14.420273469306938,-72.09584395470108
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,ESPINAR,ESPINAR,Belen de Apurimac,19,-14.827919000395514,-71.48154652986076
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,ACCHA,Huañuypampa,19,-14.022700900723091,-71.83515889307486
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,ACCHA,Huasaray,19,-13.993455950918923,-71.86960607839143
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,ACCHA,Parcco,19,-13.999443184087996,-71.89020535008376
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,HUANOQUITE,Chifia Amaru,19,-13.677339940005712,-71.9890843234566
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,OMACHA,Huasquillay,19,-14.087039577465871,-71.84717607725676
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,OMACHA,Huillcuyo,19,-14.118716454704458,-71.84704189821251
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,C.P.Cusibamba,19,-13.814148151631732,-71.83664640219322
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,Cusibamba,19,-13.808605160560248,-71.83796565873345
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,Cusibamba-Bocatoma,19,-13.80832552066047,-71.83793454616169
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,Incacona,19,-13.750693780701788,-71.85875827976584
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,Limacpata,19,-13.7391105309468,-71.86766306125101
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,PARURO,Poblacion Paruro,19,-13.75642155802521,-71.85474371198887
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,YAURISQUE,San Juan de Taray,19,-13.67469909729296,-71.93274739700077
Pampas Apurimac,Alto Apurimac - Velille,CUSCO,PARURO,YAURISQUE,Yaurisque,19,-13.660060550165715,-71.92418929891733
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,Kinkibiri,18,-12.378424005512386,-73.9015368222492
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,Kinkibiri,18,-12.536964239048425,-73.77920453504868
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,Natividad,18,-12.26044388254696,-73.95355791242187
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,San Juan de la Frontera,18,-12.52311413655497,-73.83443867394749
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,Unión Tarancato,18,-12.393957723747864,-73.89268754175653
Pampas Apurimac,Bajo Apurimac - Pampas,CUSCO,LA CONVENCION,PICHARI,Unión Tarancato,18,-12.533330861338236,-73.78945514241683
Pampas Apurimac,Medio Apurimac Pachachaca,CUSCO,ANTA,LIMATAMBO,Challabamba,18,-13.46124732101836,-72.40685367554664
Pampas Apurimac,Medio Apurimac Pachachaca,CUSCO,ANTA,LIMATAMBO,Huertahuayco,18,-13.449750681186863,-72.41599520066576
Pampas Apurimac,Medio Apurimac Pachachaca,CUSCO,ANTA,LIMATAMBO,Molinopata (Sondorf),18,-13.45813970961612,-72.43947055834124
Pampas Apurimac,Medio Apurimac Pachachaca,CUSCO,ANTA,LIMATAMBO,Pedregal,18,-13.46270334098439,-72.42898212598931
Pampas Apurimac,Medio Apurimac Pachachaca,CUSCO,ANTA,LIMATAMBO,Sondorf,18,-13.464921026647833,-72.43293688469139
Urubamba Vilcanota,Cusco,CUSCO,ACOMAYO,ACOPIA,C.C.Santo Domingo,19,-14.088669744594489,-71.50430270242336
Urubamba Vilcanota,Cusco,CUSCO,ACOMAYO,POMACANCHI,CC. Choquesani,19,-13.98286908374299,-71.60554555026862
Urubamba Vilcanota,Cusco,CUSCO,ACOMAYO,POMACANCHI,Radio Urbano-Pomachanchi,19,-14.04088839123686,-71.5738786323882
Urubamba Vilcanota,Cusco,CUSCO,CANAS,LAYO,C.C.Urinsaya Ccollana,19,-14.52466320119768,-71.14869581725839
Urubamba Vilcanota,Cusco,CUSCO,CANAS,LAYO,Hanocca,19,-14.511788668617866,-71.1226934790345
Urubamba Vilcanota,Cusco,CUSCO,CANAS,TUPAC AMARU,CC. Tungasuca Ccollana,19,-14.174509785154289,-71.4680473301107
Urubamba Vilcanota,Cusco,CUSCO,CANAS,TUPAC AMARU,Rosasani y Llalla,19,-14.128465188360796,-71.50607976800234
Urubamba Vilcanota,Cusco,CUSCO,CANAS,YANAOCA,C.C. Cholloccani,19,-14.260934004966195,-71.41413821638555
Urubamba Vilcanota,Cusco,CUSCO,CANAS,YANAOCA,Puca Puca-Chicnaygua,19,-14.25720274425259,-71.44074841333484
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,CHECACUPE,C.C.Chari,19,-13.986816084212682,-71.42435136785993
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,CHECACUPE,C.C.Checacupe,19,-13.988747065815344,-71.42821127589923
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,COMBAPATA,C.C.Jayubamba,19,-14.094959887090052,-71.33962377237691
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,COMBAPATA,Zona Urbana Combapata,19,-14.110190749042085,-71.42117935113254
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,C.C.Huiscachani y Chectuyoc,19,-14.339349354762517,-71.18356400371651
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,C.C.Mamuera y Ccuyo,19,-14.372381034222157,-71.1454351316062
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,Caraccoto-Sullca (CC. Sullca),19,-14.355315532876984,-71.2099114050801
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,Kumuyapu-Sullca (CC. Sullca),19,-14.356585808209422,-71.20158225650013
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,Marangani Pueblo,19,-14.362790632302676,-71.17307468105307
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,MARANGANI,Zona Urbana Marangani,19,-14.362356259695144,-71.15777853051874
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SAN PABLO,C.C.Inca Parte,19,-14.234166925254163,-71.33482609307903
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SAN PEDRO,C.C.San Pedro Kacha,19,-14.175188562650774,-71.34465762356842
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SICUANI,C.C. Trapiche y C.C. Sencca Chectuyoc,19,-14.304913535514585,-71.20312588225458
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SICUANI,C.C.Chauchapata C.C. Sencca Chectuyoc,19,-14.326718443953506,-71.19321875455012
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SICUANI,QQuehuar,19,-14.220448042095574,-71.25617732151007
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SICUANI,Sicuani-CCRaqchi,19,-14.294265248329328,-71.21523455300755
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,SICUANI,Zona Urbana-Tinta,19,-14.147478278488215,-71.40037128480114
Urubamba Vilcanota,Cusco,CUSCO,CANCHIS,TINTA,C.C.Queromarca,19,-14.204432101681425,-71.38156849924619
Urubamba Vilcanota,Cusco,CUSCO,QUISPICANCHI,CUSIPATA,C.P.Chillihuani,19,-13.864376984297309,-71.41967146783423
Urubamba Vilcanota,Cusco,CUSCO,QUISPICANCHI,QUIQUIJANA,Accopata,19,-13.799994465200374,-71.55349247266332
Urubamba Vilcanota,Cusco,CUSCO,QUISPICANCHI,QUIQUIJANA,Antisuyo-Huaccaytaqui,19,-13.857183100688898,-71.54282676395073
Urubamba Vilcanota,Cusco,CUSCO,QUISPICANCHI,QUIQUIJANA,C.C.Pampaquehuar-Huaraypata,19,-13.77885244555731,-71.59769331005994
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,ECHARATE,Centro poblado Palma Real,18,-12.623436908694323,-72.68640922895229
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,ECHARATE,Chahuares,18,-12.645179824654278,-72.54134677351747
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,ECHARATE,Kiteni,18,-12.651116778363557,-73.05013208656794
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,ECHARATE,Kiteni,18,-12.64595694196292,-73.04163931549382
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,MARANURA,Derrumbe,18,-12.986300178066289,-72.65696459650948
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,MARANURA,Luicho,18,-12.9923363702896,-72.64998805192593
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,MARANURA,Mandor,18,-12.901612989331324,-72.67590154705788
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,OCOBAMBA,C.P.San Lorenzo,18,-12.68141093526426,-72.3888390356582
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,QUELLOUNO,Campanayoc,18,-12.622851224981549,-72.41774998218845
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,SANTA ANA,La Balsa,18,-12.884537278384144,-72.68637491707518
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,SANTA TERESA,Cocalmayo,18,-13.131857168497367,-72.59128686532884
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,SANTA TERESA,Cocalmayo,18,-13.113218667068583,-72.59822558491507
Urubamba Vilcanota,La Convencion,CUSCO,LA CONVENCION,SANTA TERESA,Tendalpata,18,-13.187094411120682,-72.60809213543375
Urubamba Vilcanota,Sicuani,CUSCO,ANTA,CACHIMAYO,Hatun Mayo-Cachimayo,18,-13.48472824755891,-72.05892825277023
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,COYA,"Paullo Ayllu, Calaminapampa, Apertanayoc",19,-13.403349688233671,-71.89682752096377
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,LAMAY,Campanachayoc Ccaytupampa,19,-13.346520663996817,-71.94142769925291
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,PISAC,Ampay,19,-13.422839866453222,-71.81160843635452
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,PISAC,Matara,19,-13.432440224097894,-71.84069539165358
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,SAN SALVADOR,Ccoscco Ayllu,19,-13.47572630456535,-71.80753711244617
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,SAN SALVADOR,Pillahuara,19,-13.462215187529068,-71.81787277727604
Urubamba Vilcanota,Sicuani,CUSCO,CALCA,TARAY,Huancalle,19,-13.458288482491865,-71.87349368392856
Urubamba Vilcanota,Sicuani,CUSCO,PAUCARTAMBO,CAICAY,Huasacamyo,19,-13.545989903211389,-71.70780771322895
Urubamba Vilcanota,Sicuani,CUSCO,PAUCARTAMBO,CHALLABAMBA,Majopata,19,-13.226970593865396,-71.64718270510355
Urubamba Vilcanota,Sicuani,CUSCO,PAUCARTAMBO,CHALLABAMBA,Mecllaypata,19,-13.205109544473876,-71.65755019477477
Urubamba Vilcanota,Sicuani,CUSCO,PAUCARTAMBO,PAUCARTAMBO,Barrio CarlosIII,19,-13.321905875211655,-71.59395085684339
Urubamba Vilcanota,Sicuani,CUSCO,PAUCARTAMBO,PAUCARTAMBO,Papaura,19,-13.3308037242621,-71.58340876366668
Urubamba Vilcanota,Sicuani,CUSCO,QUISPICANCHI,CCATCA,Asociación Ccapana,19,-13.591514544590249,-71.4025111729006
Urubamba Vilcanota,Sicuani,CUSCO,QUISPICANCHI,OCONGATE,C.C. Maguayani,19,-13.605804209632224,-71.22811725098418
